file_name,score
0.pkl,0.10707363
1.pkl,1.2581248e-14
10.pkl,1.7193532e-19
10001.pkl,0.0020492969
10002.pkl,0.0029530143
10004.pkl,6.4712136e-10
10008.pkl,0.9999645
10014.pkl,3.0348265e-28
10018.pkl,3.6555185e-15
10019.pkl,1.6008211e-29
1002.pkl,4.1798652e-22
10022.pkl,0.045234185
10023.pkl,5.4680927e-06
10026.pkl,1.4956657e-25
10027.pkl,1.8338784e-24
10028.pkl,2.90244e-15
10029.pkl,9.3182534e-05
1003.pkl,1.0816637e-27
10030.pkl,0.99960595
10031.pkl,1.0
10032.pkl,6.414034e-18
10033.pkl,0.0014060283
10034.pkl,5.9421163e-32
10035.pkl,0.9999938
10037.pkl,2.357789e-13
10038.pkl,0.5402949
1004.pkl,6.9922616e-17
10041.pkl,3.9107696e-17
10042.pkl,4.520667e-11
10044.pkl,0.98459435
10045.pkl,1.0
10047.pkl,3.8465987e-18
10048.pkl,6.8414785e-08
1005.pkl,3.0787407e-20
10052.pkl,7.1147815e-28
10053.pkl,5.6222955e-26
10054.pkl,5.635998e-25
10055.pkl,2.2051275e-14
10056.pkl,5.081969e-07
10058.pkl,0.000102307655
1006.pkl,1.733895e-13
10062.pkl,4.752916e-29
10063.pkl,1.5632384e-20
10064.pkl,4.4437964e-10
10066.pkl,1.2080147e-07
10067.pkl,1.4359041e-09
10068.pkl,7.128002e-38
1007.pkl,9.279871e-12
10070.pkl,2.0961545e-08
10072.pkl,0.99938655
10073.pkl,4.517179e-32
10074.pkl,0.0013914527
10075.pkl,2.048957e-30
10077.pkl,2.740394e-24
10078.pkl,3.585012e-07
1008.pkl,0.50768995
10081.pkl,3.10152e-13
10083.pkl,1.1421809e-09
10085.pkl,3.799781e-27
10086.pkl,1.4909034e-25
10089.pkl,2.154175e-20
1009.pkl,0.9946174
10090.pkl,2.2137444e-30
10093.pkl,3.702147e-10
10095.pkl,2.0122548e-17
10097.pkl,9.606424e-15
101.pkl,1.6162596e-10
1010.pkl,1.4114105e-06
10101.pkl,2.5850355e-08
10102.pkl,9.001976e-09
10103.pkl,3.3271435e-15
10105.pkl,1.5801996e-09
10107.pkl,8.985492e-07
1011.pkl,2.4401787e-29
10111.pkl,1.149896e-11
10112.pkl,0.9999999
10113.pkl,0.6844157
10114.pkl,6.8274064e-10
10116.pkl,1.7808762e-17
10118.pkl,0.86977786
10119.pkl,1.3248809e-15
10120.pkl,1.4801951e-11
10122.pkl,2.5201996e-25
10124.pkl,1.4124812e-16
10125.pkl,0.39324462
10127.pkl,0.0083741555
10128.pkl,1.3963764e-24
10129.pkl,4.715872e-15
10130.pkl,0.99999356
10131.pkl,1.9292522e-20
10132.pkl,9.097559e-06
10133.pkl,0.9845011
10136.pkl,0.995291
10138.pkl,0.0039033808
10139.pkl,7.5737e-10
10141.pkl,1.2879971e-18
10142.pkl,1.5471096e-18
10143.pkl,4.1632204e-22
10144.pkl,4.6253538e-27
10145.pkl,6.464843e-15
10146.pkl,8.923835e-20
10148.pkl,7.533438e-12
10149.pkl,1.0
1015.pkl,0.9989945
10150.pkl,4.1154252e-10
10151.pkl,5.7220564e-06
10152.pkl,5.8901907e-12
10156.pkl,5.4545907e-10
10158.pkl,1.0791255e-26
1016.pkl,1.7045971e-23
10160.pkl,5.441545e-19
10164.pkl,7.541814e-10
10165.pkl,0.91000164
10167.pkl,2.0917867e-14
10168.pkl,0.99116033
10169.pkl,1.894816e-12
1017.pkl,0.11341178
10171.pkl,2.8761963e-23
10173.pkl,0.7597332
10174.pkl,0.99953675
10175.pkl,2.126413e-15
10177.pkl,0.9945115
10178.pkl,0.947106
10179.pkl,2.0960514e-22
1018.pkl,4.314858e-08
10180.pkl,0.21821453
10185.pkl,0.99987555
10186.pkl,5.7783376e-15
10187.pkl,0.9629545
1019.pkl,1.2647478e-19
10191.pkl,3.044551e-23
10193.pkl,0.98265266
10194.pkl,0.99543095
10195.pkl,1.0
10196.pkl,1.8060409e-11
10197.pkl,1.8345156e-16
10199.pkl,0.019293673
102.pkl,1.4962889e-16
1020.pkl,0.9775015
10202.pkl,0.24741113
10203.pkl,3.4496527e-30
10207.pkl,7.1655646e-17
10209.pkl,5.8155364e-10
10210.pkl,2.7031535e-07
10212.pkl,1.3543241e-08
10213.pkl,0.9996762
10214.pkl,4.2726564e-12
10215.pkl,0.9994036
10216.pkl,0.00011676748
10217.pkl,0.015668714
10218.pkl,3.0619677e-13
10219.pkl,2.0030833e-21
1022.pkl,5.98968e-17
10223.pkl,1.3891751e-27
10225.pkl,1.0
10226.pkl,2.1241413e-09
10227.pkl,3.6923767e-23
10228.pkl,4.698972e-12
10229.pkl,2.6364568e-24
1023.pkl,4.6419406e-13
10231.pkl,0.8251345
10232.pkl,4.7684563e-31
10239.pkl,2.92773e-28
1024.pkl,1.0604579e-22
10240.pkl,0.99999976
10241.pkl,0.0010081803
10243.pkl,3.1057545e-05
10244.pkl,2.1780913e-32
10247.pkl,0.9987079
10248.pkl,2.3426427e-16
1025.pkl,1.0
10251.pkl,0.17741047
10256.pkl,1.2546762e-33
10258.pkl,2.8878332e-27
10260.pkl,0.8947868
10265.pkl,0.14765409
10266.pkl,0.96259
10267.pkl,3.0829163e-14
10270.pkl,1.959016e-06
10271.pkl,9.799376e-05
10273.pkl,2.192533e-06
10274.pkl,7.8405907e-07
10275.pkl,7.134822e-14
10276.pkl,1.3906886e-06
10277.pkl,2.1635597e-12
10280.pkl,3.861334e-16
10282.pkl,0.8518616
10283.pkl,1.5980459e-07
10284.pkl,0.042393025
10285.pkl,3.469147e-05
10289.pkl,0.0
10290.pkl,1.2285545e-13
10294.pkl,0.67387545
10295.pkl,0.9998062
10296.pkl,4.214514e-29
10297.pkl,0.03321728
10298.pkl,0.9999485
10299.pkl,0.9999814
103.pkl,0.9999777
1030.pkl,0.9999862
10302.pkl,0.24167004
10303.pkl,0.9998952
10305.pkl,1.0
10307.pkl,4.435783e-15
10308.pkl,4.2556413e-31
10309.pkl,9.280862e-31
10310.pkl,0.99999464
10311.pkl,0.18545842
10313.pkl,2.080179e-27
10315.pkl,8.987179e-26
10319.pkl,1.0
1032.pkl,2.158427e-28
10320.pkl,4.3156912e-11
10321.pkl,0.9996666
10322.pkl,5.0024998e-11
10324.pkl,1.3104785e-17
10325.pkl,0.3402566
10326.pkl,0.98758847
1033.pkl,1.216105e-09
10332.pkl,3.3740747e-16
10337.pkl,3.2008124e-26
10338.pkl,0.0
1034.pkl,0.96050256
10342.pkl,4.2792795e-23
10344.pkl,0.9751272
10345.pkl,1.02341886e-35
10346.pkl,1.9104047e-13
10347.pkl,3.9102557e-09
10348.pkl,4.3994955e-10
10349.pkl,0.9881712
10351.pkl,1.2450582e-20
10352.pkl,2.3799425e-31
10353.pkl,0.99999964
10354.pkl,0.49681887
10355.pkl,0.6280259
10360.pkl,1.4992e-05
10363.pkl,0.9953766
10364.pkl,1.4608719e-20
10365.pkl,3.7235865e-12
10366.pkl,3.588983e-25
10367.pkl,0.9999999
10372.pkl,1.2918217e-06
10373.pkl,1.0394092e-26
10374.pkl,1.201351e-19
10375.pkl,4.100454e-24
10376.pkl,0.9999999
10377.pkl,9.578792e-16
10384.pkl,2.527319e-10
10385.pkl,1.5282626e-11
10387.pkl,3.2235709e-31
10388.pkl,3.8224397e-07
10389.pkl,9.759545e-19
1039.pkl,1.2652287e-14
10390.pkl,1.5912633e-09
10393.pkl,1.1135672e-19
10394.pkl,0.92361116
10395.pkl,0.4854639
10398.pkl,1.6011885e-09
10399.pkl,4.6557406e-07
1040.pkl,9.27577e-05
10400.pkl,0.120991334
10402.pkl,0.9999932
10403.pkl,1.0
10404.pkl,3.0605035e-12
10405.pkl,3.63647e-08
10406.pkl,0.9999999
10409.pkl,0.99992776
10411.pkl,1.0
10413.pkl,6.5872214e-23
10414.pkl,0.24048977
10415.pkl,1.0
1042.pkl,1.122804e-06
10422.pkl,1.0
10424.pkl,2.974507e-07
10425.pkl,1.4254533e-12
10427.pkl,2.2742508e-09
10428.pkl,1.1334141e-08
1043.pkl,1.2499783e-36
10430.pkl,3.2872313e-20
10431.pkl,3.2833793e-07
10434.pkl,2.387062e-16
1044.pkl,2.4626794e-28
10444.pkl,0.9999999
10445.pkl,0.0016388218
10446.pkl,4.963272e-09
10447.pkl,6.107203e-27
10448.pkl,0.9999995
1045.pkl,1.1351929e-26
10452.pkl,7.653077e-09
10453.pkl,1.0
10456.pkl,0.8801636
10462.pkl,0.004148865
10463.pkl,2.0967882e-10
10465.pkl,1.6700402e-05
10466.pkl,0.0020898627
10469.pkl,0.046648346
1047.pkl,8.338155e-15
10470.pkl,0.9999943
10471.pkl,1.0
10473.pkl,9.6302964e-14
10476.pkl,0.00049663085
10478.pkl,0.7466889
10479.pkl,1.0
10480.pkl,1.0
10481.pkl,0.9750217
10482.pkl,3.1585878e-06
10483.pkl,0.444125
10484.pkl,0.99679935
10486.pkl,1.230862e-10
10488.pkl,0.9983741
10489.pkl,1.0299223e-12
10490.pkl,3.8668282e-18
10491.pkl,1.7457391e-16
10492.pkl,0.99990666
10494.pkl,0.075989425
10495.pkl,3.0193658e-12
10497.pkl,5.0820987e-16
10499.pkl,2.665332e-28
1050.pkl,0.017087568
10500.pkl,1.7193159e-13
10501.pkl,4.681242e-08
10506.pkl,1.0
10507.pkl,3.001113e-16
10508.pkl,2.2573605e-25
10509.pkl,5.5282605e-15
1051.pkl,4.9214525e-14
10510.pkl,0.24373372
10512.pkl,0.9999895
10514.pkl,0.023308998
10516.pkl,0.9406228
10518.pkl,8.6743507e-10
10519.pkl,3.6999181e-09
1052.pkl,0.0035282618
10520.pkl,0.98947877
10521.pkl,0.99796104
10522.pkl,1.0776821e-25
10526.pkl,1.0
10527.pkl,2.0746536e-10
1053.pkl,6.0543813e-28
10533.pkl,4.300434e-14
10534.pkl,0.9445159
10536.pkl,0.9999937
10537.pkl,1.9415454e-08
10539.pkl,0.08014188
1054.pkl,1.0
10540.pkl,1.7818963e-16
10541.pkl,1.0
10542.pkl,0.9201813
10549.pkl,2.864189e-28
10552.pkl,7.1924776e-19
10554.pkl,0.26344964
10555.pkl,4.8394927e-28
10556.pkl,2.9458368e-26
10557.pkl,0.0060929144
10558.pkl,2.1734533e-23
1056.pkl,0.99943584
10560.pkl,9.4325724e-27
10561.pkl,0.7391791
10562.pkl,0.99996233
10565.pkl,6.339491e-29
10567.pkl,1.0
10568.pkl,4.633962e-24
10569.pkl,2.6050427e-06
10570.pkl,2.9991035e-13
10573.pkl,4.4278927e-09
10576.pkl,1.0
10579.pkl,1.0
10580.pkl,1.2501863e-05
10582.pkl,2.132467e-28
10585.pkl,5.110629e-07
10586.pkl,4.2096301e-10
10588.pkl,2.8861532e-31
10589.pkl,1.2860155e-05
1059.pkl,1.958979e-13
10590.pkl,0.8833978
10592.pkl,0.9984459
10594.pkl,1.0
10595.pkl,0.9976439
10596.pkl,2.1256528e-13
10597.pkl,3.9268557e-24
1060.pkl,2.403553e-10
10602.pkl,1.5397128e-13
10604.pkl,1.0
10605.pkl,2.417683e-07
10606.pkl,0.9537667
10607.pkl,1.1595237e-13
10608.pkl,6.822682e-17
10609.pkl,8.1194745e-29
10610.pkl,1.0
10611.pkl,0.99570316
10612.pkl,3.4847767e-18
10617.pkl,7.884741e-16
10619.pkl,9.056508e-30
10621.pkl,4.06668e-05
10622.pkl,3.1123694e-05
